"CODE_SERIE";"CODE_PAYS";"UNITE";"SOURCE";"VALEUR";"QUALITE";"STATUT";"COMMENTAIRE";"DATE_MAJ";"AUTEUR";"C_TITRE_FRA";"C_TITRE_ENG"
cst_elcun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_elpun;fix;tep/MWh;NRD;0.222;1;o;;2016-03-09 11:56:06;LEOG;;
cst_essdn;fix;t/m3;NRD;0.755;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gzldn;fix;t/m3;NRD;0.845;1;o;;2016-03-09 11:56:06;LEOG;;
cst_tclun;fix;J/cal;NRD;4.1868;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gnaun;fix;"10^-9tep/cal";NRD;0.09;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gnaunm3;fix;Mj/m3;NRD;38;1;o;;2016-03-09 11:56:06;LEOG;;
cst_chaun;fix;tep/t;NRD;0.66;1;o;;2016-03-09 11:56:06;LEOG;;
cst_ligun;fix;tep/t;NRD;0.23;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du lignite;Lignite standard conversion factor
cst_cbiun;fix;tep/t;NRD;0.62;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du charbon bitumineux;Bituminous coal standard conversion factor
cst_csbun;fix;tep/t;NRD;0.44;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du charbon sous-bitumineux;Sub bituminous coal standard conversion factor
cst_cckun;fix;tep/t;NRD;0.69;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du charbon à coke;Coking coal standard conversion factor
cst_cokun;fix;tep/t;NRD;0.68;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du coke;Coke standard conversion factor
cst_hylun;fix;tep/t;NRD;1.02;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gnauntep;fix;kep/m3;NRD;0.81685;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gleun;fix;tep/t;NRD;0.65;1;o;;2016-03-09 11:56:06;LEOG;;
cst_ancun;fix;"10^-9tep/cal";NRD;0.1;1;o;;2016-03-09 11:56:06;LEOG;;
cst_chbun;fix;tep/t;NRD;0.735;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du charbon de bois;Wood coal standard conversion factor
cst_pbrun;fix;tep/t;NRD;1.02;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du pétrole brut;Crude oil standard conversion factor
cst_pbrdn;fix;t/m3;NRD;0.88;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gzlun;fix;tep/t;NRD;1.017;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du gazole;Diesel standard conversion factor
cst_folun;fix;tep/t;NRD;0.96;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du fioul lourd;Heavy fuel oil standard conversion factor
cst_foldn;fix;t/m3;NRD;0.97;1;o;;2016-03-09 11:56:06;LEOG;;
cst_essun;fix;tep/t;NRD;1.051;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard de l'essence automobile;Motor gasoline standard conversion factor
cst_gplun;fix;tep/t;NRD;1.1;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gpldn;fix;t/m3;NRD;0.55;1;o;;2016-03-09 11:56:06;LEOG;;
cst_antun;fix;tep/t;NRD;0.66;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gocun;fix;tep/t;NRD;0.92;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du goudron de houille;Coaltar final standard conversion factor
cst_bchun;fix;tep/t;NRD;0.7;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard des briquettes de charbon;Coal briquettes standard conversion factor
cst_bliun;fix;tep/t;NRD;0.48;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard des briquettes de lignite;Brown coal briquettes standard conversion factor
cst_touun;fix;tep/t;NRD;0.23;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard de la tourbe;Peat standard conversion factor
cst_addun;fix;tep/t;NRD;0.6;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard des additifs;Additives standard conversion factor
cst_pncun;fix;tep/t;NRD;1.02;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pchun;fix;tep/t;NRD;1.02;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pgnun;fix;tep/t;NRD;1.02;1;o;;2016-03-09 11:56:06;LEOG;;
cst_parun;fix;tep/t;NRD;1.015;1;o;;2016-03-09 11:56:06;LEOG;;
cst_lgnun;fix;tep/t;NRD;1.08;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du liquide de gaz naturel (LGN);NGL (Natural gas liquids) standard conversion factor
cst_graun;fix;tep/t;NRD;1.18;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du gaz de raffinerie;Refineries gas standard conversion factor
cst_esaun;fix;tep/t;NRD;1.05;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard d'essence avion;Aviation gasoline standard conversion factor
cst_carun;fix;tep/t;NRD;1.027;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du carburéacteur;Jet fuel standard conversion factor
cst_kerun;fix;tep/t;NRD;1.027;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du pétrole lampant;Kerosene standard conversion factor
cst_whiun;fix;tep/t;NRD;1.04;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du white spirit;White spirit standard conversion factor
cst_napun;fix;tep/t;NRD;1.051;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du naphta;Naphta standard conversion factor
cst_lubun;fix;tep/t;NRD;1;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard des lubrifiants;Lubricants standard conversion factor
cst_bitun;fix;tep/t;NRD;0.93;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du bitume;Bitumen standard conversion factor
cst_prfun;fix;tep/t;NRD;0.96;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard de la paraffine;Paraffin standard conversion factor
cst_ckpun;fix;tep/t;NRD;0.76;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du cokde de pétrole;Petroleum coke standard conversion factor
cst_pdvun;fix;tep/t;NRD;0.96;1;o;;2016-03-09 11:56:06;LEOG;;
cst_etnun;fix;tep/t;NRD;1.18;1;o;;2016-03-09 11:56:06;LEOG;;
cst_echun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_eliun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_esbun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_eanun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_egnun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_egmun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_epeun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_ehyun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_enuun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_nucun;fix;tep/MWh;NRD;0.260606;1;o;;2016-03-09 11:56:06;LEOG;;
cst_egeun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_geoun;fix;tep/MWh;NRD;0.8598;1;o;;2016-03-09 11:56:06;LEOG;;
cst_edvun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_eeoun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_ethun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:06;LEOG;;
cst_vapun;fix;"10^-9tep/cal";NRD;0.1;1;o;;2016-03-09 11:56:06;LEOG;;
cst_zero;fix;"1";NRD;0;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcpetoxy;fix;"1";GIEC;1;1;o;;2016-03-09 11:56:06;LEOG;;
cst_hylco2ccbl;fix;tco2/tep;GIEC;3.0712;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pbrco2ccbl;fix;tco2/tep;GIEC;3.0712;1;o;;2016-03-09 11:56:06;LEOG;;
cst_lgnco2ccbl;fix;tco2/tep;GIEC;2.6873;1;o;;2016-03-09 11:56:06;LEOG;;
cst_parco2ccbl;fix;tco2/tep;GIEC;3.0712;1;o;;2016-03-09 11:56:06;LEOG;;
cst_ckpco2ccbl;fix;tco2/tep;GIEC;4.084696;1;o;;2016-03-09 11:56:06;LEOG;;
cst_folco2ccbl;fix;tco2/tep;GIEC;3.240116;1;o;;2016-03-09 11:56:06;LEOG;;
cst_essco2ccbl;fix;tco2/tep;GIEC;2.902284;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gzlco2ccbl;fix;tco2/tep;GIEC;3.101912;1;o;;2016-03-09 11:56:06;LEOG;;
cst_kerco2ccbl;fix;tco2/tep;GIEC;3.009776;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gplco2ccbl;fix;tco2/tep;GIEC;2.641232;1;o;;2016-03-09 11:56:06;LEOG;;
cst_graco2ccbl;fix;tco2/tep;GIEC;2.410892;1;o;;2016-03-09 11:56:06;LEOG;;
cst_carco2ccbl;fix;tco2/tep;GIEC;2.99442;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pdvco2ccbl;fix;tco2/tep;GIEC;3.0712;1;o;;2016-03-09 11:56:06;LEOG;;
cst_bitco2ccbl;fix;tco2/tep;GIEC;3.37832;1;o;;2016-03-09 11:56:06;LEOG;;
cst_lubco2ccbl;fix;tco2/tep;GIEC;3.0712;1;o;;2016-03-09 11:56:06;LEOG;;
cst_napco2ccbl;fix;tco2/tep;GIEC;3.0712;1;o;;2016-03-09 11:56:06;LEOG;;
cst_etnco2ccbl;fix;tco2/tep;GIEC;2.579808;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcco2ckpsto;fix;"1";GIEC;0.75;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcco2gplsto;fix;"1";GIEC;0.8;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcco2grasto;fix;"1";GIEC;0.75;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcco2pdvsto;fix;"1";GIEC;0.75;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcco2bitsto;fix;"1";GIEC;1;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcco2lubsto;fix;"1";GIEC;0.5;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcco2napsto;fix;"1";GIEC;0.8;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcco2etnsto;fix;"1";GIEC;0.8;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcco2prfsto;fix;"1";GIEC;1;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcco2whisto;fix;"1";GIEC;1;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcco2appsto;fix;"1";GIEC;0.75;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gnaco2ccbl;fix;tco2/tep;GIEC;2.349468;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gckco2ccbl;fix;tco2/tep;GIEC;1.858076;1;o;;2016-03-09 11:56:06;LEOG;;
cst_ghfco2ccbl;fix;tco2/tep;GIEC;10.872048;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gvico2ccbl;fix;tco2/tep;GIEC;1.858076;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcgnaoxy;fix;"1";GIEC;1;1;o;;2016-03-09 11:56:06;LEOG;;
cst_chaco2ccbl;fix;tco2/tep;GIEC;3.961848;1;o;;2016-03-09 11:56:06;LEOG;;
cst_cbico2ccbl;fix;tco2/tep;GIEC;3.961848;1;o;;2016-03-09 11:56:06;LEOG;;
cst_cckco2ccbl;fix;tco2/tep;GIEC;3.961848;1;o;;2016-03-09 11:56:06;LEOG;;
cst_csbco2ccbl;fix;tco2/tep;GIEC;4.023272;1;o;;2016-03-09 11:56:06;LEOG;;
cst_ehlun;fix;tep/MWh;NRD;0.086;1;o;;2018-11-13 17:07:29;LEOG;;
cst_solun;fix;tep/MWh;NRD;0.258;1;o;;2020-12-15 15:18:55;LEOG;;
cst_clico2ccbl;fix;tco2/tep;GIEC;4.238256;1;o;;2016-03-09 11:56:06;LEOG;;
cst_ligco2ccbl;fix;tco2/tep;GIEC;4.238256;1;o;;2016-03-09 11:56:06;LEOG;;
cst_touco2ccbl;fix;tco2/tep;GIEC;4.437884;1;o;;2016-03-09 11:56:06;LEOG;;
cst_bchco2ccbl;fix;tco2/tep;GIEC;4.084696;1;o;;2016-03-09 11:56:06;LEOG;;
cst_blico2ccbl;fix;tco2/tep;GIEC;4.084696;1;o;;2016-03-09 11:56:06;LEOG;;
cst_cokco2ccbl;fix;tco2/tep;GIEC;4.483952;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pcchaoxy;fix;"1";GIEC;1;1;o;;2016-03-09 11:56:06;LEOG;;
cst_cckco2ccblsid;fix;tco2/tep;GIEC;3.1;1;o;;2016-03-09 11:56:06;LEOG;;
cst_boico2ccbl;fix;tco2/tep;GIEC;4.5901;1;o;;2016-03-09 11:56:06;LEOG;;
cst_dinco2ccbl;fix;tco2/tep;GIEC;5.98884;1;o;;2016-03-09 11:56:06;LEOG;;
cst_dmuco2ccbl;fix;tco2/tep;GIEC;4.5901;1;o;;2016-03-09 11:56:06;LEOG;;
cst_chbco2ccbl;fix;tco2/tep;GIEC;4.5901;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gnlm3tun;fix;m3/t;NRD;1361;1;o;;2016-03-09 11:56:06;LEOG;;
cst_btuun;fix;tep/Mbtu;NRD;0.0252;1;o;;2016-03-09 11:56:06;LEOG;;
cst_clkpdco2ccbl;fix;tco2/tep;GIEC;0.5071;1;o;;2016-03-09 11:56:06;LEOG;;
cst_cimpdco2ccbl;fix;tco2/tep;GIEC;0.4985;1;o;;2016-03-09 11:56:06;LEOG;;
cst_chxcipdco2ccbl;fix;tco2/tep;GIEC;0.79;1;o;;2016-03-09 11:56:06;LEOG;;
cst_amopdco2ccbl;fix;tco2/tep;GIEC;1.5;1;o;;2016-03-09 11:56:06;LEOG;;
cst_anipdco2ccbl;fix;tco2/tep;GIEC;0.0055;1;o;;2016-03-09 11:56:06;LEOG;;
cst_prdadico2ccbl;fix;tco2/tep;GIEC;0.3;1;o;;2016-03-09 11:56:06;LEOG;;
cst_ckcsidco2ciccbl;fix;tco2/tep;GIEC;3.1;1;o;;2016-03-09 11:56:06;LEOG;;
cst_sidco2ccbl;fix;tco2/tep;GIEC;0.04;1;o;;2016-03-09 11:56:06;LEOG;;
cst_aluco2ccbl;fix;tco2/tep;GIEC;1.5;1;o;;2016-03-09 11:56:06;LEOG;;
cst_fchpdco2ccbl;fix;tco2/tep;GIEC;1.3;1;o;;2016-03-09 11:56:06;LEOG;;
cst_fonco2ccbl;fix;tco2/tep;GIEC;-0.15;1;o;;2016-03-09 11:56:06;LEOG;;
cst_coefvpcbus;fix;"1";NRD;11;1;o;;2016-03-09 11:56:06;LEOG;;
cst_coefvpcmot;fix;"1";NRD;0.15;1;o;;2016-03-09 11:56:06;LEOG;;
cst_coefvpccamvlr;fix;"1";NRD;3.9;1;o;;2016-03-09 11:56:06;LEOG;;
cst_pbrbltun;fix;bl/t;NRD;7.3;1;o;;2016-03-09 11:56:06;LEOG;Coefficient de conversion standard du pétrole brut (Barils/Tonne);Crude oil standard conversion factor (Barrels/Ton)
cst_gplbltun;fix;bl/t;NRD;11.6;1;o;;2016-03-09 11:56:06;LEOG;;
